experiment,age,well shape,opacity,light,min,n,n wells,time interval,time moving (s),distance moved (mm)
at,5dpf,round,clear,,,74,96,0:08:00-0:09:00,4.91135,25.2892
at,5dpf,round,clear,,,74,96,0:09:00-0:10:00,4.19351,26.0726
at,5dpf,round,clear,,,74,96,0:10:00-0:11:00,5.91784,31.7625
at,5dpf,round,clear,,,74,96,0:11:00-0:12:00,7.0173,34.0507
at,5dpf,round,clear,,,96,96,Start-0:01:00,1.56708,14.052
at,5dpf,round,clear,,,96,96,0:01:00-0:02:00,1.77458,14.3498
at,5dpf,round,clear,,,96,96,0:02:00-0:03:00,2.09333,16.0684
at,5dpf,round,clear,,,96,96,0:03:00-0:04:00,2.07833,16.4851
at,5dpf,round,clear,,,96,96,0:04:00-0:05:00,9.41958,48.1836
at,5dpf,round,clear,,,96,96,0:05:00-0:06:00,14.5221,66.6229
at,5dpf,round,clear,,,96,96,0:06:00-0:07:00,17.6837,77.2782
at,5dpf,round,clear,,,96,96,0:07:00-0:08:00,19.455,83.1972
at,5dpf,round,clear,,,96,96,0:08:00-0:09:00,4.38917,26.4857
at,5dpf,round,clear,,,96,96,0:09:00-0:10:00,2.64042,20.28
at,5dpf,round,clear,,,96,96,0:10:00-0:11:00,2.48708,19.5668
at,5dpf,round,clear,,,96,96,0:11:00-0:12:00,2.80167,20.6441
at,5dpf,round,clear,,,94,96,Start-0:01:00,0.455319,9.88317
at,5dpf,round,clear,,,94,96,0:01:00-0:02:00,0.411064,9.68996
at,5dpf,round,clear,,,94,96,0:02:00-0:03:00,0.655319,10.6326
at,5dpf,round,clear,,,94,96,0:03:00-0:04:00,0.576596,10.7081
at,5dpf,round,clear,,,94,96,0:04:00-0:05:00,4.84383,28.0733
at,5dpf,round,clear,,,94,96,0:05:00-0:06:00,13.8396,61.5061
at,5dpf,round,clear,,,94,96,0:06:00-0:07:00,12.7574,54.2055
at,5dpf,round,clear,,,94,96,0:07:00-0:08:00,12.637,54.175
at,5dpf,round,clear,,,94,96,0:08:00-0:09:00,1.56894,15.1179
at,5dpf,round,clear,,,94,96,0:09:00-0:10:00,0.11234,8.93094
at,5dpf,round,clear,,,94,96,0:10:00-0:11:00,0.128511,9.00208
at,5dpf,round,clear,,,94,96,0:11:00-0:12:00,0.316596,10.1988
at,6dpf,round,clear,,,96,96,Start-0:01:00,24.1846,98.2872
at,6dpf,round,clear,,,96,96,0:01:00-0:02:00,20.5129,86.4308
at,6dpf,round,clear,,,96,96,0:02:00-0:03:00,15.9917,69.9584
at,6dpf,round,clear,,,96,96,0:03:00-0:04:00,12.7417,59.2913
at,6dpf,round,clear,,,96,96,0:04:00-0:05:00,11.2638,52.824
at,6dpf,round,clear,,,96,96,0:05:00-0:06:00,8.81333,43.8879
at,6dpf,round,clear,,,96,96,0:06:00-0:07:00,7.09375,36.9723
at,6dpf,round,clear,,,96,96,0:07:00-0:08:00,5.44083,31.6909
at,6dpf,round,clear,,,96,96,0:08:00-0:09:00,4.95583,28.895
at,6dpf,round,clear,,,96,96,0:09:00-0:10:00,4.01208,24.8958
at,6dpf,round,clear,,,96,96,0:10:00-0:11:00,3.5725,23.2945
at,6dpf,round,clear,,,96,96,0:11:00-0:12:00,3.33625,20.9781
at,6dpf,round,clear,,,74,96,Start-0:01:00,4.97297,26.5126
at,6dpf,round,clear,,,74,96,0:01:00-0:02:00,6.20432,31.7632
at,6dpf,round,clear,,,74,96,0:02:00-0:03:00,6.21405,33.0767
at,6dpf,round,clear,,,74,96,0:03:00-0:04:00,6.82811,34.2359
at,6dpf,round,clear,,,74,96,0:04:00-0:05:00,19.8551,73.3354
at,6dpf,round,clear,,,74,96,0:05:00-0:06:00,26.7114,91.9632
at,6dpf,round,clear,,,74,96,0:06:00-0:07:00,27.1557,91.5808
at,6dpf,round,clear,,,74,96,0:07:00-0:08:00,27.5395,90.7052
at,6dpf,round,clear,,,74,96,0:08:00-0:09:00,3.29297,20.1287
at,6dpf,round,clear,,,74,96,0:09:00-0:10:00,4.77622,26.5587
at,6dpf,round,clear,,,74,96,0:10:00-0:11:00,5.81081,30.0416
at,6dpf,round,clear,,,74,96,0:11:00-0:12:00,5.99027,31.463
at,6dpf,round,clear,,,96,96,Start-0:01:00,4.6725,29.5223
at,6dpf,round,clear,,,96,96,0:01:00-0:02:00,4.30958,28.2693
at,6dpf,round,clear,,,96,96,0:02:00-0:03:00,4.285,30.314
at,6dpf,round,clear,,,96,96,0:03:00-0:04:00,3.73375,26.3017
at,6dpf,round,clear,,,96,96,0:04:00-0:05:00,7.17708,39.04
at,6dpf,round,clear,,,96,96,0:05:00-0:06:00,7.20208,37.9935
at,6dpf,round,clear,,,96,96,0:06:00-0:07:00,2.61333,18.9848
at,6dpf,round,clear,,,96,96,0:07:00-0:08:00,2.75417,20.0991
at,6dpf,round,clear,,,96,96,0:08:00-0:09:00,0.520417,11.1777
at,6dpf,round,clear,,,96,96,0:09:00-0:10:00,0.55,10.6129
at,6dpf,round,clear,,,96,96,0:10:00-0:11:00,0.82375,12.8544
at,6dpf,round,clear,,,96,96,0:11:00-0:12:00,0.876667,13.2527
at,6dpf,round,clear,,,94,96,Start-0:01:00,2.41021,18.364
at,6dpf,round,clear,,,94,96,0:01:00-0:02:00,2.63702,18.2158
at,6dpf,round,clear,,,94,96,0:02:00-0:03:00,3.07064,19.9004
at,6dpf,round,clear,,,94,96,0:03:00-0:04:00,3.52383,21.5837
at,6dpf,round,clear,,,94,96,0:04:00-0:05:00,16.3685,68.7663
at,6dpf,round,clear,,,94,96,0:05:00-0:06:00,21.9647,83.3514
at,6dpf,round,clear,,,94,96,0:06:00-0:07:00,22.386,83.0229
at,6dpf,round,clear,,,94,96,0:07:00-0:08:00,21.8604,82.8213
at,6dpf,round,clear,,,94,96,0:08:00-0:09:00,1.89021,15.2919
at,6dpf,round,clear,,,94,96,0:09:00-0:10:00,1.55021,14.9433
at,6dpf,round,clear,,,94,96,0:10:00-0:11:00,1.97574,16.0983
at,6dpf,round,clear,,,94,96,0:11:00-0:12:00,2.13277,17.6383
at,7dpf,round,clear,,,96,96,Start-0:01:00,7.00625,35.3486
at,7dpf,round,clear,,,96,96,0:01:00-0:02:00,8.45417,39.6721
at,7dpf,round,clear,,,96,96,0:02:00-0:03:00,10.3883,46.1453
at,7dpf,round,clear,,,96,96,0:03:00-0:04:00,10.9038,48.359
at,7dpf,round,clear,,,96,96,0:04:00-0:05:00,24.1204,88.9129
at,7dpf,round,clear,,,96,96,0:05:00-0:06:00,24.9179,91.4268
at,7dpf,round,clear,,,96,96,0:06:00-0:07:00,23.4375,87.3577
at,7dpf,round,clear,,,96,96,0:07:00-0:08:00,21.3412,82.18
at,7dpf,round,clear,,,96,96,0:08:00-0:09:00,2.87083,20.2258
at,7dpf,round,clear,,,96,96,0:09:00-0:10:00,5.08,27.4534
at,7dpf,round,clear,,,96,96,0:10:00-0:11:00,5.73375,31.2808
at,7dpf,round,clear,,,96,96,0:11:00-0:12:00,6.9,35.5154
at,7dpf,round,clear,,,74,96,Start-0:01:00,16.6876,62.808
at,7dpf,round,clear,,,74,96,0:01:00-0:02:00,14.2065,55.1219
at,7dpf,round,clear,,,74,96,0:02:00-0:03:00,7.51351,32.7614
at,7dpf,round,clear,,,74,96,0:03:00-0:04:00,8.94378,38.1964
at,7dpf,round,clear,,,74,96,0:04:00-0:05:00,4.48216,23.0966
at,7dpf,round,clear,,,74,96,0:05:00-0:06:00,5.32973,24.5319
at,7dpf,round,clear,,,74,96,0:06:00-0:07:00,4.49297,22.4552
at,7dpf,round,clear,,,74,96,0:07:00-0:08:00,3.83568,20.2979
at,7dpf,round,clear,,,74,96,0:08:00-0:09:00,3.71784,19.6635
